## 1.1.1
## assembly	: /home/users/sc1830/testing/filtered_contigs.fasta
## coverage	 bam0 - /home/users/sc1830/testing/sorted_mapped.bam
## taxonomy	 tax0 - /home/users/sc1830/testing/filtered.megablast.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
NODE_1_length_766028_cov_118.752115	766028	0.5083	0	305.4579	undef	7342400.0	0	Pseudomonadota	7342400.0	0	Enterobacterales	7342400.0	0	Enterobacteriaceae	7342400.0	0	Escherichia	7342400.0	0	Escherichia coli	7342400.0	0
NODE_2_length_641155_cov_110.380681	641155	0.5099	0	285.112	undef	5923983.0	0	Pseudomonadota	5923983.0	0	Enterobacterales	5923983.0	0	Enterobacteriaceae	5923983.0	0	Escherichia	5875945.0	1	Escherichia coli	5875945.0	1
NODE_3_length_581867_cov_105.838225	581867	0.4949	0	271.6988	undef	5373200.0	0	Pseudomonadota	5373200.0	0	Enterobacterales	5373200.0	0	Enterobacteriaceae	5373200.0	0	Escherichia	5373200.0	0	Escherichia coli	5373200.0	0
NODE_4_length_549729_cov_118.244257	549729	0.5059	0	304.6014	undef	5075000.0	0	Pseudomonadota	5075000.0	0	Enterobacterales	5075000.0	0	Enterobacteriaceae	5075000.0	0	Escherichia	5075000.0	0	Escherichia coli	5075000.0	0
NODE_5_length_468533_cov_112.715830	468533	0.5086	0	290.0137	undef	4326300.0	0	Pseudomonadota	4326300.0	0	Enterobacterales	4326300.0	0	Enterobacteriaceae	4326300.0	0	Escherichia	4326300.0	0	Escherichia coli	4326300.0	0
NODE_6_length_419314_cov_114.387877	419314	0.509	0	295.3443	undef	3870900.0	0	Pseudomonadota	3870900.0	0	Enterobacterales	3870900.0	0	Enterobacteriaceae	3870900.0	0	Escherichia	3870900.0	0	Escherichia coli	3870900.0	0
NODE_7_length_282505_cov_120.181537	282505	0.5059	0	309.74	undef	2607800.0	0	Pseudomonadota	2607800.0	0	Enterobacterales	2607800.0	0	Enterobacteriaceae	2607800.0	0	Escherichia	2607800.0	0	Escherichia coli	2607800.0	0
NODE_8_length_246464_cov_120.163004	246464	0.5052	0	308.727	undef	2275400.0	0	Pseudomonadota	2275400.0	0	Enterobacterales	2275400.0	0	Enterobacteriaceae	2275400.0	0	Escherichia	2275400.0	0	Escherichia coli	2275400.0	0
NODE_9_length_229951_cov_119.409305	229951	0.5066	0	307.0953	undef	2123248.0	0	Pseudomonadota	2123248.0	0	Enterobacterales	2123248.0	0	Enterobacteriaceae	2123248.0	0	Escherichia	2123248.0	0	Escherichia coli	2123248.0	0
NODE_10_length_164880_cov_107.199049	164880	0.4958	0	276.3876	undef	1522000.0	0	Pseudomonadota	1522000.0	0	Enterobacterales	1522000.0	0	Enterobacteriaceae	1522000.0	0	Escherichia	1522000.0	0	Escherichia coli	1522000.0	0
NODE_11_length_147341_cov_117.602945	147341	0.4966	0	302.8087	undef	1360400.0	0	Pseudomonadota	1360400.0	0	Enterobacterales	1360400.0	0	Enterobacteriaceae	1360400.0	0	Escherichia	1360400.0	0	Escherichia coli	1360400.0	0
NODE_12_length_129322_cov_124.547374	129322	0.5092	0	319.9509	undef	1194000.0	0	Pseudomonadota	1194000.0	0	Enterobacterales	1194000.0	0	Enterobacteriaceae	1194000.0	0	Escherichia	1194000.0	0	Escherichia coli	1194000.0	0
NODE_13_length_113291_cov_125.681162	113291	0.517	0	324.1066	undef	1046000.0	0	Pseudomonadota	1046000.0	0	Enterobacterales	1046000.0	0	Enterobacteriaceae	1046000.0	0	Escherichia	1046000.0	0	Escherichia coli	1046000.0	0
NODE_14_length_35058_cov_128.178237	35058	0.5272	0	323.6672	undef	323700.0	0	Pseudomonadota	323700.0	0	Enterobacterales	323700.0	0	Enterobacteriaceae	323700.0	0	Escherichia	323700.0	0	Escherichia coli	323700.0	0
NODE_15_length_32193_cov_103.982411	32193	0.5	0	265.9144	undef	297244.0	0	Pseudomonadota	297244.0	0	Enterobacterales	297244.0	0	Enterobacteriaceae	297244.0	0	Escherichia	297244.0	0	Escherichia coli	297244.0	0
NODE_16_length_31051_cov_118.661331	31051	0.5249	0	303.0629	undef	286705.0	0	Pseudomonadota	286705.0	0	Enterobacterales	286705.0	0	Enterobacteriaceae	286705.0	0	Escherichia	286705.0	0	Escherichia coli	286705.0	0
NODE_17_length_22395_cov_119.420873	22395	0.4619	0	304.5148	undef	206780.0	0	Pseudomonadota	206780.0	0	Enterobacterales	206780.0	0	Enterobacteriaceae	206780.0	0	Escherichia	206780.0	0	Escherichia coli	206780.0	0
