# BUSCO version is: 5.4.7 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_16_length_36302_cov_89.806137	23833	28056	-	1848.9	1175	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_16_length_36302_cov_89.806137	28133	32161	-	1274.3	825	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_1_length_1289817_cov_80.000615	1255452	1259339	-	264.7	403	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_2_length_731141_cov_84.184860	69887	72517	-	589.9	572	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_3_length_719375_cov_81.195396	80881	82902	+	770.8	513	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_19_length_22836_cov_84.661808	17537	19360	+	564.0	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_1_length_1289817_cov_80.000615	1269123	1270922	-	737.2	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_9_length_114122_cov_83.266626	51600	53003	-	331.8	276	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_3_length_719375_cov_81.195396	582628	585225	+	516.0	494	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_1_length_1289817_cov_80.000615	452320	454092	-	609.7	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_4_length_587501_cov_84.238320	371355	372653	-	326.5	292	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_1_length_1289817_cov_80.000615	985575	987092	-	270.8	278	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_3_length_719375_cov_81.195396	213260	214552	+	417.4	339	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_2_length_731141_cov_84.184860	624274	625761	-	176.7	212	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_1_length_1289817_cov_80.000615	221212	222486	-	340.7	298	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_9_length_114122_cov_83.266626	88398	89780	-	578.6	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_2_length_731141_cov_84.184860	338806	339969	-	178.5	230	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_1_length_1289817_cov_80.000615	303020	304003	-	434.4	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_1_length_1289817_cov_80.000615	1183853	1185430	-	308.9	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_4_length_587501_cov_84.238320	135193	136575	-	211.5	238	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_2_length_731141_cov_84.184860	151061	152359	-	366.7	287	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_18_length_26316_cov_88.933636	14156	15145	+	263.4	238	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_11_length_110936_cov_86.423476	4976	6694	+	823.6	532	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Duplicated	NODE_10_length_111685_cov_119.290288	13132	15231	-	198.9	308	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
761140at2	Duplicated	NODE_1_length_1289817_cov_80.000615	740173	742206	+	197.4	307	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_3_length_719375_cov_81.195396	235035	235718	+	287.4	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
