locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBBINGLK_00001	CDS	2574	clpB		COG0542	Chaperone protein ClpB
MBBINGLK_00002	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
MBBINGLK_00003	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MBBINGLK_00004	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
MBBINGLK_00005	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
MBBINGLK_00006	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
MBBINGLK_00007	CDS	1122	tyrA		COG0287	T-protein
MBBINGLK_00008	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
MBBINGLK_00009	CDS	363				hypothetical protein
MBBINGLK_00010	CDS	519				hypothetical protein
MBBINGLK_00011	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
MBBINGLK_00012	CDS	483	pal_1			Peptidoglycan-associated lipoprotein
MBBINGLK_00013	CDS	348	rplS_1		COG0335	50S ribosomal protein L19
MBBINGLK_00014	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
MBBINGLK_00015	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
MBBINGLK_00016	CDS	249	rpsP		COG0228	30S ribosomal protein S16
MBBINGLK_00017	CDS	1362	ffh		COG0541	Signal recognition particle protein
MBBINGLK_00018	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
MBBINGLK_00019	CDS	1242				hypothetical protein
MBBINGLK_00020	CDS	594	grpE		COG0576	Protein GrpE
MBBINGLK_00021	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
MBBINGLK_00022	CDS	1662	recN		COG0497	DNA repair protein RecN
MBBINGLK_00023	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
MBBINGLK_00024	CDS	291	pasI		COG2914	Persistence and stress-resistance antitoxin PasI
MBBINGLK_00025	CDS	477	pasT		COG2867	Persistence and stress-resistance toxin PasT
MBBINGLK_00026	CDS	483	smpB		COG0691	SsrA-binding protein
MBBINGLK_00027	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
MBBINGLK_00028	CDS	198				hypothetical protein
MBBINGLK_00029	CDS	789				hypothetical protein
MBBINGLK_00030	CDS	294				hypothetical protein
MBBINGLK_00031	CDS	774				hypothetical protein
MBBINGLK_00032	CDS	1890				hypothetical protein
MBBINGLK_00033	CDS	129	hin		COG1961	DNA-invertase hin
MBBINGLK_00034	CDS	492				hypothetical protein
MBBINGLK_00035	CDS	444				hypothetical protein
