# BUSCO version is: 5.4.7 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_14_length_35058_cov_128.178237	13388	17611	+	1848.5	1175	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_14_length_35058_cov_128.178237	9283	13311	+	1274.3	825	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_2_length_641155_cov_110.380681	33229	37272	+	264.3	403	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_1_length_766028_cov_118.752115	102630	105260	-	589.9	574	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_6_length_419314_cov_114.387877	385293	387314	-	769.7	513	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_12_length_129322_cov_124.547374	17520	19343	+	564.0	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_2_length_641155_cov_110.380681	21808	23607	+	736.2	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_7_length_282505_cov_120.181537	223689	225092	-	331.8	276	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_10_length_164880_cov_107.199049	20278	22875	+	516.1	461	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_3_length_581867_cov_105.838225	243745	245517	+	609.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_4_length_549729_cov_118.244257	503228	504526	-	326.5	292	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_2_length_641155_cov_110.380681	267806	269323	+	270.8	278	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_6_length_419314_cov_114.387877	252782	254074	-	417.4	339	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_1_length_766028_cov_118.752115	660099	661586	-	176.7	212	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_3_length_581867_cov_105.838225	463518	464792	+	339.9	298	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_7_length_282505_cov_120.181537	256651	258033	-	578.6	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_1_length_766028_cov_118.752115	368725	369888	-	178.5	230	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_3_length_581867_cov_105.838225	386373	387356	+	434.8	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_2_length_641155_cov_110.380681	102315	103892	+	308.9	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_4_length_549729_cov_118.244257	242810	244192	-	211.5	238	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_1_length_766028_cov_118.752115	185362	186660	-	366.7	287	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_8_length_246464_cov_120.163004	11194	12183	-	263.4	238	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_4_length_549729_cov_118.244257	4976	6694	+	825.8	532	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_2_length_641155_cov_110.380681	493084	495117	-	197.7	307	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_6_length_419314_cov_114.387877	234840	235523	-	287.4	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_7_length_282505_cov_120.181537	258974	260515	-	642.1	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_14_length_35058_cov_128.178237	216	1244	+	138.8	165	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
