## 1.1.1
## assembly	: /home/users/sc1830/testing/contigs_04S62.fasta
## coverage	 bam0 - /home/users/sc1830/testing/sorted_mapped_04S62.bam
## taxonomy	 tax0 - /home/users/sc1830/testing/contigs_04S62.fasta.vs.nt.cul5.1e5.megablast.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
NODE_1_length_1289817_cov_80.000615	1289817	0.4997	0	209.8504	undef	12820174.0	0	Pseudomonadota	12819848.0	1	Enterobacterales	12819848.0	1	Enterobacteriaceae	12819848.0	1	Escherichia	12598829.0	8	Escherichia coli	12512682.0	12
NODE_2_length_731141_cov_84.184860	731141	0.5057	0	221.9369	undef	7472021.0	0	Pseudomonadota	7472021.0	0	Enterobacterales	7472021.0	0	Enterobacteriaceae	7472021.0	0	Escherichia	7471047.0	1	Escherichia coli	7471047.0	1
NODE_3_length_719375_cov_81.195396	719375	0.5038	0	212.8156	undef	8255725.0	0	Pseudomonadota	8255725.0	0	Enterobacterales	8255725.0	0	Enterobacteriaceae	8255604.0	1	Escherichia	8252027.0	4	Escherichia coli	8239996.0	7
NODE_4_length_587501_cov_84.238320	587501	0.5033	0	220.9421	undef	5760422.0	0	Pseudomonadota	5760422.0	0	Enterobacterales	5760422.0	0	Enterobacteriaceae	5752856.0	1	Escherichia	5697936.0	7	Escherichia coli	5697936.0	10
NODE_5_length_478210_cov_85.356400	478210	0.5204	0	223.9845	undef	4748883.0	0	Pseudomonadota	4748883.0	0	Enterobacterales	4748883.0	0	Enterobacteriaceae	4748883.0	0	Escherichia	4747595.0	1	Escherichia coli	4747302.0	2
NODE_6_length_215893_cov_86.114184	215893	0.511	0	227.5007	undef	2151252.0	0	Pseudomonadota	2151252.0	0	Enterobacterales	2151252.0	0	Enterobacteriaceae	2151252.0	0	Escherichia	2151252.0	0	Escherichia coli	2151252.0	0
NODE_7_length_183822_cov_84.931789	183822	0.5032	0	223.9383	undef	1768342.0	0	Pseudomonadota	1768342.0	0	Enterobacterales	1768342.0	0	Enterobacteriaceae	1768342.0	0	Escherichia	1768342.0	0	Escherichia coli	1768342.0	0
NODE_8_length_131025_cov_118.151515	131025	0.4893	0	307.9311	undef	1202034.0	0	Pseudomonadota	1202034.0	0	Enterobacterales	1202034.0	0	Enterobacteriaceae	1201609.0	1	Escherichia	1156303.0	4	Escherichia coli	1147597.0	6
NODE_9_length_114122_cov_83.266626	114122	0.4994	0	220.1609	undef	1017500.0	0	Pseudomonadota	1017500.0	0	Enterobacterales	1017500.0	0	Enterobacteriaceae	1017500.0	0	Escherichia	1017500.0	0	Escherichia coli	1017500.0	0
NODE_10_length_111685_cov_119.290288	111685	0.4618	0	312.0191	undef	1025643.9	0	Pseudomonadota	912046.9	2	Enterobacterales	912046.9	2	Enterobacteriaceae	912046.9	2	Escherichia	892785.9	5	Escherichia coli	887773.9	6
NODE_11_length_110936_cov_86.423476	110936	0.5147	0	227.3138	undef	976405.0	0	Pseudomonadota	976405.0	0	Enterobacterales	976405.0	0	Enterobacteriaceae	976405.0	0	Escherichia	976405.0	0	Escherichia coli	976405.0	0
NODE_12_length_103331_cov_90.080733	103331	0.5232	0	237.152	undef	1010955.0	0	Pseudomonadota	1010955.0	0	Enterobacterales	1010955.0	0	Enterobacteriaceae	1010955.0	0	Escherichia	994351.0	2	Escherichia coli	915751.0	4
NODE_13_length_53359_cov_88.521247	53359	0.5259	0	232.9397	undef	459189.0	0	Pseudomonadota	459189.0	0	Enterobacterales	459189.0	0	Enterobacteriaceae	459189.0	0	Escherichia	459189.0	0	Escherichia coli	459189.0	0
NODE_14_length_43313_cov_86.097763	43313	0.5038	0	225.6921	undef	403241.0	0	Pseudomonadota	403241.0	0	Enterobacterales	403241.0	0	Enterobacteriaceae	403241.0	0	Escherichia	402982.0	1	Escherichia coli	402982.0	1
NODE_15_length_38941_cov_114.948244	38941	0.4768	0	298.0866	undef	330587.8	0	Pseudomonadota	330587.8	0	Enterobacterales	330587.8	0	Enterobacteriaceae	330587.8	0	Escherichia	313479.8	2	Escherichia coli	312272.8	3
NODE_16_length_36302_cov_89.806137	36302	0.5283	0	234.1458	undef	326710.0	0	Pseudomonadota	326710.0	0	Enterobacterales	326710.0	0	Enterobacteriaceae	326710.0	0	Escherichia	326710.0	0	Escherichia coli	326710.0	0
NODE_17_length_34739_cov_82.583150	34739	0.5131	0	215.8293	undef	306544.0	0	Pseudomonadota	306544.0	0	Enterobacterales	306544.0	0	Enterobacteriaceae	306544.0	0	Escherichia	306544.0	0	Escherichia coli	305847.0	1
NODE_18_length_26316_cov_88.933636	26316	0.4957	0	229.1057	undef	237367.0	0	Pseudomonadota	237367.0	0	Enterobacterales	237367.0	0	Enterobacteriaceae	237367.0	0	Escherichia	237367.0	0	Escherichia coli	237367.0	0
NODE_19_length_22836_cov_84.661808	22836	0.49	0	221.4702	undef	204908.0	0	Pseudomonadota	204908.0	0	Enterobacterales	204908.0	0	Enterobacteriaceae	204908.0	0	Escherichia	204908.0	0	Escherichia coli	204908.0	0
NODE_20_length_7291_cov_85.224735	7291	0.4983	0	220.1529	undef	66116.0	0	Pseudomonadota	66116.0	0	Enterobacterales	66116.0	0	Enterobacteriaceae	66116.0	0	Escherichia	66116.0	0	Escherichia coli	66116.0	0
NODE_21_length_5335_cov_86.687596	5335	0.5119	0	222.2968	undef	48388.0	0	Pseudomonadota	48388.0	0	Enterobacterales	48388.0	0	Enterobacteriaceae	48388.0	0	Escherichia	48388.0	0	Escherichia coli	48388.0	0
NODE_22_length_4467_cov_81.811290	4467	0.4777	0	200.9115	undef	40860.0	0	Pseudomonadota	40860.0	0	Enterobacterales	40860.0	0	Enterobacteriaceae	40860.0	0	Escherichia	40860.0	0	Escherichia coli	40860.0	0
NODE_23_length_1752_cov_182.187692	1752	0.6176	0	445.5858	undef	15957.0	0	Pseudomonadota	15957.0	0	Enterobacterales	15957.0	0	Enterobacteriaceae	15957.0	0	Escherichia	15957.0	0	Escherichia coli	15957.0	0
NODE_24_length_1741_cov_58.176580	1741	0.4164	0	132.4237	undef	14947.0	0	Pseudomonadota	14947.0	0	Enterobacterales	14947.0	0	Enterobacteriaceae	14947.0	0	Escherichia	14947.0	0	Escherichia coli	7267.0	2
NODE_25_length_1403_cov_506.638715	1403	0.5467	0	1186.5395	undef	12955.0	0	Pseudomonadota	12955.0	0	Enterobacterales	12955.0	0	Enterobacteriaceae	12955.0	0	Escherichia	12955.0	0	Escherichia coli	12955.0	0
NODE_26_length_1383_cov_541.830414	1383	0.5372	0	1226.0049	undef	12751.0	0	Pseudomonadota	12751.0	0	Enterobacterales	12751.0	0	Enterobacteriaceae	12751.0	0	Escherichia	12751.0	0	Escherichia coli	12751.0	0
NODE_27_length_1186_cov_0.431539	1186	0.3508	0	2.1842	undef	8711.0	0	Chordata	8711.0	0	Primates	8711.0	0	Hominidae	8711.0	0	Homo	8711.0	0	Homo sapiens	8711.0	0
NODE_28_length_1124_cov_493.622869	1124	0.5338	0	1113.5734	undef	10380.0	0	Pseudomonadota	10380.0	0	Enterobacterales	10380.0	0	Enterobacteriaceae	10380.0	0	Escherichia	10380.0	0	Escherichia coli	10380.0	0
NODE_29_length_1012_cov_296.561582	1012	0.4911	0	753.7239	undef	9290.0	0	Pseudomonadota	9290.0	0	Enterobacterales	9290.0	0	Enterobacteriaceae	9290.0	0	Escherichia	9290.0	0	Escherichia coli	9290.0	0
NODE_30_length_995_cov_134.311060	995	0.6472	0	367.0883	undef	8870.0	0	Pseudomonadota	8870.0	0	Enterobacterales	8870.0	0	Enterobacteriaceae	8870.0	0	Escherichia	8870.0	0	Escherichia coli	8870.0	0
NODE_31_length_842_cov_0.693706	842	0.7067	0	1.1187	undef	7775.0	0	Pseudomonadota	7775.0	0	Pseudomonadales	7775.0	0	Pseudomonadaceae	7775.0	0	Pseudomonas	7775.0	0	Pseudomonas aeruginosa	7775.0	0
NODE_32_length_746_cov_1.355412	746	0.6582	0	2.5254	undef	6890.0	0	Pseudomonadota	6890.0	0	Pseudomonadales	6890.0	0	Pseudomonadaceae	6890.0	0	Pseudomonas	6890.0	0	Pseudomonas aeruginosa	6890.0	0
NODE_33_length_744_cov_144.662885	744	0.4167	0	280.4417	undef	6689.0	0	Pseudomonadota	6689.0	0	Enterobacterales	6689.0	0	Enterobacteriaceae	6689.0	0	Escherichia	5364.0	1	Escherichia coli	4045.0	2
NODE_34_length_722_cov_0.568067	722	0.4806	0	10.1113	undef	4270.0	0	Chordata	4270.0	0	Primates	4270.0	0	Hominidae	4270.0	0	Homo	4270.0	0	Homo sapiens	4270.0	0
NODE_35_length_721_cov_1.158249	721	0.6144	0	1.9597	undef	6655.0	0	Pseudomonadota	6655.0	0	Burkholderiales	6655.0	0	Alcaligenaceae	6655.0	0	Bordetella	6655.0	0	Bordetella bronchiseptica	6655.0	0
NODE_36_length_710_cov_0.950257	710	0.7239	0	2.3218	undef	6475.0	0	Pseudomonadota	6475.0	0	Pseudomonadales	6475.0	0	Pseudomonadaceae	6475.0	0	Pseudomonas	6475.0	0	Pseudomonas aeruginosa	6475.0	0
NODE_37_length_687_cov_1.328571	687	0.6608	0	2.0567	undef	6345.0	0	Pseudomonadota	6345.0	0	Pseudomonadales	6345.0	0	Pseudomonadaceae	6345.0	0	Pseudomonas	6345.0	0	Pseudomonas aeruginosa	6345.0	0
NODE_38_length_681_cov_0.848375	681	0.6285	0	2.0748	undef	6265.0	0	Pseudomonadota	6265.0	0	Pseudomonadales	6265.0	0	Pseudomonadaceae	6265.0	0	Pseudomonas	6265.0	0	Pseudomonas aeruginosa	6265.0	0
NODE_39_length_680_cov_190.681736	680	0.5397	0	389.9522	undef	6280.0	0	Pseudomonadota	6280.0	0	Enterobacterales	6280.0	0	Enterobacteriaceae	6280.0	0	Escherichia	5024.0	1	Escherichia coli	5024.0	1
NODE_40_length_677_cov_0.901818	677	0.6928	0	1.3914	undef	6255.0	0	Pseudomonadota	6255.0	0	Burkholderiales	6255.0	0	Alcaligenaceae	6255.0	0	Bordetella	6255.0	0	Bordetella bronchiseptica	6255.0	0
NODE_41_length_675_cov_1.135036	675	0.523	0	2.0933	undef	6235.0	0	Pseudomonadota	6235.0	0	Pseudomonadales	6235.0	0	Pseudomonadaceae	6235.0	0	Pseudomonas	6235.0	0	Pseudomonas aeruginosa	6235.0	0
NODE_42_length_668_cov_0.811460	668	0.6317	0	1.4102	undef	6145.0	0	Pseudomonadota	6145.0	0	Pseudomonadales	6145.0	0	Pseudomonadaceae	6145.0	0	Pseudomonas	6145.0	0	Pseudomonas aeruginosa	6145.0	0
NODE_43_length_662_cov_1.285981	662	0.6193	0	2.4901	undef	6115.0	0	Pseudomonadota	6115.0	0	Pseudomonadales	6115.0	0	Pseudomonadaceae	6115.0	0	Pseudomonas	6115.0	0	Pseudomonas aeruginosa	6115.0	0
NODE_44_length_659_cov_1.398496	659	0.6662	0	2.1441	undef	6030.0	0	Pseudomonadota	6030.0	0	Pseudomonadales	6030.0	0	Pseudomonadaceae	6030.0	0	Pseudomonas	6030.0	0	Pseudomonas aeruginosa	6030.0	0
NODE_45_length_656_cov_99.194707	656	0.5945	0	276.0606	undef	6030.0	0	Pseudomonadota	6030.0	0	Enterobacterales	6030.0	0	Enterobacteriaceae	6030.0	0	Escherichia	6030.0	0	Escherichia coli	6030.0	0
NODE_46_length_653_cov_1.414449	653	0.6968	0	2.1638	undef	6030.0	0	Pseudomonadota	6030.0	0	Pseudomonadales	6030.0	0	Pseudomonadaceae	6030.0	0	Pseudomonas	6030.0	0	Pseudomonas aeruginosa	6030.0	0
NODE_47_length_653_cov_0.707224	653	0.5835	0	1.8032	undef	5785.0	0	Pseudomonadota	5785.0	0	Pseudomonadales	5785.0	0	Pseudomonadaceae	5785.0	0	Pseudomonas	5785.0	0	Pseudomonas aeruginosa	5785.0	0
NODE_48_length_648_cov_0.952015	648	0.6775	0	1.4537	undef	5985.0	0	Pseudomonadota	5985.0	0	Pseudomonadales	5985.0	0	Pseudomonadaceae	5985.0	0	Pseudomonas	5985.0	0	Pseudomonas aeruginosa	5985.0	0
NODE_49_length_646_cov_0.678227	646	0.6517	0	1.0936	undef	6122.0	0	Pseudomonadota	6122.0	0	Burkholderiales	3822.0	1	Alcaligenaceae	3822.0	1	Bordetella	3822.0	1	Bordetella bronchiseptica	3822.0	1
NODE_50_length_646_cov_0.678227	646	0.5975	0	1.4582	undef	5940.0	0	Pseudomonadota	5940.0	0	Pseudomonadales	5940.0	0	Pseudomonadaceae	5940.0	0	Pseudomonas	5940.0	0	Pseudomonas aeruginosa	5940.0	0
NODE_51_length_637_cov_0.662745	637	0.7002	0	1.4788	undef	5810.0	0	Pseudomonadota	5810.0	0	Pseudomonadales	5810.0	0	Pseudomonadaceae	5810.0	0	Pseudomonas	5810.0	0	Pseudomonas aeruginosa	5810.0	0
NODE_52_length_628_cov_0.766467	628	0.5876	0	1.5	undef	5712.0	0	Pseudomonadota	5712.0	0	Pseudomonadales	5712.0	0	Pseudomonadaceae	5712.0	0	Pseudomonas	5712.0	0	Pseudomonas aeruginosa	5712.0	0
NODE_53_length_614_cov_1.527721	614	0.7085	0	2.3013	undef	5670.0	0	Pseudomonadota	5670.0	0	Burkholderiales	5670.0	0	Alcaligenaceae	5670.0	0	Bordetella	5670.0	0	Bordetella bronchiseptica	5670.0	0
NODE_54_length_605_cov_0.882845	605	0.3702	0	1.557	undef	5395.0	0	Bacillota	5395.0	0	Lactobacillales	5395.0	0	Enterococcaceae	5395.0	0	Enterococcus	5395.0	0	Enterococcus faecalis	5395.0	0
NODE_55_length_592_cov_167.490323	592	0.5743	0	355.6294	undef	5470.0	0	Pseudomonadota	5470.0	0	Enterobacterales	5470.0	0	Enterobacteriaceae	5470.0	0	Escherichia	5470.0	0	Escherichia coli	5470.0	0
NODE_56_length_591_cov_0.698276	591	0.3452	0	2.3908	undef	3320.0	0	Chordata	3320.0	0	Primates	3320.0	0	Hominidae	3320.0	0	Homo	3320.0	0	Homo sapiens	3320.0	0
